,Name,Sample,Transformation,Description,# in Data76.m,,,,,,,
,OUT ----------- real output and income,,,,,,,,,,,
1,IPS11,1976:2 - 2005:6,5,"INDUSTRIAL PRODUCTION INDEX - PRODUCTS, TOTAL",79,,,,,,,
2,IPS299,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - FINAL PRODUCTS,84,,,,,,,
3,IPS12,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - CONSUMER GOODS,80,,,,,,,
4,IPS13,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - DURABLE CONSUMER GOODS,81,,,,,,,
5,IPS18,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - NONDURABLE CONSUMER GOODS,82,,,,,,,
6,IPS25,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - BUSINESS EQUIPMENT,83,,,,,,,
7,IPS32,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - MATERIALS,87,,,,,,,
8,IPS34,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - DURABLE GOODS MATERIALS,88,,,,,,,
9,IPS38,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - NONDURABLE GOODS MATERIALS,89,,,,,,,
10,IPS43,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - MANUFACTURING (SIC),90,,,,,,,
11,IPS67e,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - MINING NAICS=21,91,,,,,,,
12,IPS68e,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - ELECTRIC AND GAS UTILITIES,92,,,,,,,
13,IPS10,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - TOTAL INDEX,78,,,,,,,
14,PMI,1976:2 - 2005:6,5,PURCHASING MANAGERS' INDEX (SA),60,,,,,,,
15,PMP,1976:2 - 2005:6,5,NAPM PRODUCTION INDEX (PERCENT),63,,,,,,,
16,PYQ,1976:2 - 2005:6,5,"PERSONAL INCOME (CHAINED) (BIL2000$,SAAR)",35,,,,,,,
17,MYXPQ,1976:2 - 2005:6,5,"PERSONAL INCOME LESS TRANSFER PAYMENTS (CHAINED)  (BIL 2000$,SAAR)",36,,,,,,,
18,IPS307,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - RESIDENTIAL UTILITIES,85,,,,,,,
19,IPS316,1976:2 - 2005:6,5,INDUSTRIAL PRODUCTION INDEX - BASIC METALS,86,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,EMP ------------- employment and hours,,,,,,,,,,,
20,LHEL,1976:2 - 2005:6,5,INDEX OF HELP-WANTED ADVERTISING IN NEWSPAPERS (1967=100;SA),45,,,,,,,
21,LHELX,1976:2 - 2005:6,4,EMPLOYMENT: RATIO; HELP-WANTED ADS:NO. UNEMPLOYED CLF,46,,,,,,,
22,LHEM,1976:2 - 2005:6,5,"CIVILIAN LABOR FORCE: EMPLOYED, TOTAL (THOUS.,SA)",47,,,,,,,
23,LHNAG,1976:2 - 2005:6,5,"CIVILIAN LABOR FORCE: EMPLOYED, NONAGRIC.INDUSTRIES (THOUS.,SA)",48,,,,,,,
24,LHUR,1976:2 - 2005:6,1,"UNEMPLOYMENT RATE: ALL WORKERS, 16 YEARS & OVER (%,SA)",54,,,,,,,
25,LHU680,1976:2 - 2005:6,1,UNEMPLOY.BY DURATION: AVERAGE(MEAN)DURATION IN WEEKS (SA),53,,,,,,,
26,LHU5,1976:2 - 2005:6,1,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.LESS THAN 5 WKS (THOUS.,SA)",52,,,,,,,
27,LHU14,1976:2 - 2005:6,1,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.5 TO 14 WKS (THOUS.,SA)",49,,,,,,,
28,LHU15,1976:2 - 2005:6,1,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.15 WKS + (THOUS.,SA)",50,,,,,,,
29,LHU26,1976:2 - 2005:6,1,"UNEMPLOY.BY DURATION: PERSONS UNEMPL.15 TO 26 WKS (THOUS.,SA)",51,,,,,,,
30,BLS_LPNAG,1976:2 - 2005:6,5,Total Nonfarm Employment - Seasonally Adjusted - CES0000000001 ,106,,,,,,,
