,Name,Sample,Transformation,Description,# in Data76.m
1,P1NDCG3,1976:2 - 2005:6,5,New domestic autos,112
2,P1NFCG3,1976:2 - 2005:6,5,New foreign autos,113
3,P1NETG3,1976:2 - 2005:6,5,Net transactions in used autos,114
4,P1MARG3,1976:2 - 2005:6,5,Used auto margin,115
5,P1REEG3,1976:2 - 2005:6,5,Employee reimbursement,116
6,P1TRUG3,1976:2 - 2005:6,5,"Trucks, new and net used",117
7,P1REVG3,1976:2 - 2005:6,5,Recreational vehicles,118
8,P1TATG3,1976:2 - 2005:6,5,Tires and tubes,119
9,P1PAAG3,1976:2 - 2005:6,5,Accessories and parts,120
10,P1FNRG3,1976:2 - 2005:6,5,"Furniture, including mattresses and bedsprings",121
11,P1MHAG3,1976:2 - 2005:6,5,Major household appliances,122
12,P1SEAG3,1976:2 - 2005:6,5,Small electric appliances,123
13,P1CHNG3,1976:2 - 2005:6,5,"China, glassware, tableware, and utensils",124
14,P1RADG3,1976:2 - 2005:6,5,"Video and audio goods, including musical instruments, and computer goods",125
15,P1FLRG3,1976:2 - 2005:6,5,Floor coverings,126
16,P1CLFG3,1976:2 - 2005:6,5,"Clocks, lamps, and furnishings",127
17,P1TEXG3,1976:2 - 2005:6,5,"Blinds, rods, and other",128
18,P1WTRG3,1976:2 - 2005:6,5,Writing equipment,129
19,P1HDWG3,1976:2 - 2005:6,5,"Tools, hardware, and supplies",130
20,P1LWNG3,1976:2 - 2005:6,5,Outdoor eqpt and supplies,131
21,P1OPTG3,1976:2 - 2005:6,5,Ophthalmic products and orthopedic appliances,132
22,P1GUNG3,1976:2 - 2005:6,5,Guns,133
23,P1SPTG3,1976:2 - 2005:6,5,Sporting equipment,134
24,P1CAMG3,1976:2 - 2005:6,5,Photographic equipment,135
25,P1BCYG3,1976:2 - 2005:6,5,Bicycles,136
26,P1MCYG3,1976:2 - 2005:6,5,Motorcycles,137
27,P1BOAG3,1976:2 - 2005:6,5,Pleasure boats,138
28,P1AIRG3,1976:2 - 2005:6,5,Pleasure aircraft,139
29,P1JRYG3,1976:2 - 2005:6,5,Jewelry and watches,140
30,P1BKSG3,1976:2 - 2005:6,5,Books and maps,141
31,P1GRAG3,1976:2 - 2005:6,5,Cereals,142
32,P1BAKG3,1976:2 - 2005:6,5,Bakery products,143
33,P1BEEG3,1976:2 - 2005:6,5,Beef and veal,144
34,P1PORG3,1976:2 - 2005:6,5,Pork,145
35,P1MEAG3,1976:2 - 2005:6,5,Other meats,146
36,P1POUG3,1976:2 - 2005:6,5,Poultry,147
37,P1FISG3,1976:2 - 2005:6,5,Fish and seafood,148
38,P1GGSG3,1976:2 - 2005:6,5,Eggs,149
39,P1MILG3,1976:2 - 2005:6,5,Fresh milk and cream,150
40,P1DAIG3,1976:2 - 2005:6,5,Processed dairy products,151
41,P1FRUG3,1976:2 - 2005:6,5,Fresh fruits,152
42,P1VEGG3,1976:2 - 2005:6,5,Fresh vegetables,153
43,P1PFVG3,1976:2 - 2005:6,5,Processed fruits and vegetables,154
44,P1JNBG3,1976:2 - 2005:6,5,Juices and nonalcoholic drinks,155
45,P1CTMG3,1976:2 - 2005:6,5,"Coffee, tea and beverage materials",156
46,P1FATG3,1976:2 - 2005:6,5,Fats and oils,157
47,P1SWEG3,1976:2 - 2005:6,5,Sugar and sweets,158
48,P1OFDG3,1976:2 - 2005:6,5,Other foods,159
49,P1PEFG3,1976:2 - 2005:6,5,Pet food,160
50,P1MLTG3,1976:2 - 2005:6,5,"Beer and ale, at home",161
51,P1WING3,1976:2 - 2005:6,5,"Wine and brandy, at home",162
52,P1LIQG3,1976:2 - 2005:6,5,"Distilled spirits, at home",163
53,P1ESLG3,1976:2 - 2005:6,5,Elementary and secondary school lunch,164
54,P1HSLG3,1976:2 - 2005:6,5,Higher education school lunch,165
55,P1OPMG3,1976:2 - 2005:6,5,Other purchased meals,166
56,P1APMG3,1976:2 - 2005:6,5,Alcohol in purchased meals,167
57,P1CFDG3,1976:2 - 2005:6,5,Food supplied civilians,168
58,P1MFDG3,1976:2 - 2005:6,5,Food supplied military,169
59,P1FFDG3,1976:2 - 2005:6,5,Food produced and consumed on farms,170
60,P1SHUG3,1976:2 - 2005:6,5,Shoes (12),171
61,P1WGCG3,1976:2 - 2005:6,5,Clothing for females,172
62,P1WICG3,1976:2 - 2005:6,5,Clothing for infants,173
63,P1WSGG3,1976:2 - 2005:6,5,Sewing goods for females,174
64,P1WUGG3,1976:2 - 2005:6,5,Luggage for females,175
65,P1MBCG3,1976:2 - 2005:6,5,Clothing for males,176
66,P1MSGG3,1976:2 - 2005:6,5,Sewing goods for males,177
67,P1MUGG3,1976:2 - 2005:6,5,Luggage for males,178
68,P1MICG3,1976:2 - 2005:6,5,Standard clothing issued to military personnel (n.d.),179
69,P1GASG3,1976:2 - 2005:6,5,Gasoline and other motor fuel,180
70,P1LUBG3,1976:2 - 2005:6,5,Lubricants,181
71,P1OILG3,1976:2 - 2005:6,5,Fuel oil,182
