,Name,Sample,Transformation,Description,# in Data76.m
1,311119,1976:2 - 2005:6,5, Other animal food manufacturing,500
2,311119p,1976:2 - 2005:6,5, Other animal food manufacturing (primary products),501
3,311211,1976:2 - 2005:6,5, Flour Milling,502
4,311212,1976:2 - 2005:6,5, Rice milling,503
5,311213,1976:2 - 2005:6,5, Malt mfg,504
6,311223a,1976:2 - 2005:6,5, Other oilseed processing (Cottonseed cake and meal and other byproducts),505
7,311225p,1976:2 - 2005:6,5, Fats and oils refining and blending (Primary products),506
8,311311,1976:2 - 2005:6,5, Sugarcane mills,507
9,311313,1976:2 - 2005:6,5, Beet sugar manufacturing,508
10,311412,1976:2 - 2005:6,5, Frozen specialty food manufacturing,509
11,311520,1976:2 - 2005:6,5, Ice cream and frozen dessert mfg,510
12,311920,1976:2 - 2005:6,5, Coffee and tea manufacturing,511
13,312140,1976:2 - 2005:6,5, Distilleries,512
14,32211-,1976:2 - 2005:6,5, Pulp mills,513
15,32213-,1976:2 - 2005:6,5, Paperboard mills,514
16,325620p,1976:2 - 2005:6,5, Toilet preparation mfg (Primary products),515
17,325920,1976:2 - 2005:6,5, Explosives manufacturing,516
18,32731-,1976:2 - 2005:6,5, Cement mfg,517
19,327320,1976:2 - 2005:6,5, Ready mixed concrete mfg and dist,518
20,327410,1976:2 - 2005:6,5, Lime,519
21,327420,1976:2 - 2005:6,5, Gypsum building products manufacturing,520
22,327910,1976:2 - 2005:6,5, Abrasive product manufacturing,521
23,331210,1976:2 - 2005:6,5, Iron steel pipe & tube mfg from purch steel,522
24,333210,1976:2 - 2005:6,5, Sawmill & woodworking machinery mfg,523
25,334310,1976:2 - 2005:6,5, Audio & video equipment mfg,524
26,335110,1976:2 - 2005:6,5, Electric lamp bulb & part mfg,525
27,336370,1976:2 - 2005:6,5, Motor vehicle metal stamping,526
28,337910,1976:2 - 2005:6,5, Mattress mfg,527
29,311421,1976:2 - 2005:6,5, Fruit and vegetable canning,528
30,311423,1976:2 - 2005:6,5, Dried and dehydrated food manufacturing,529
31,311513,1976:2 - 2005:6,5, Cheese manufacturing,530
32,311611,1976:2 - 2005:6,5, Animal except poultry slaughtering,531
33,311612,1976:2 - 2005:6,5, Meat processed from carcasses,532
34,311613,1976:2 - 2005:6,5, Rendering and meat byproduct processing,533
35,311711,1976:2 - 2005:6,5, Seafood canning,534
36,311712,1976:2 - 2005:6,5, Fresh & frozen seafood processing,535
37,311813p,1976:2 - 2005:6,5, Frozen cakes pies & other pastries mfg (Primary products),536
38,3118233,1976:2 - 2005:6,5, Dry pasta manufacturing ( Macaroni  spaghetti  vermicelli  and noodles),537
